Unnamed: 0,Unnamed: 1,Unnamed: 2,Total Number of Filings,Unnamed: 4,Unnamed: 5,19232,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20
Serial No.,Date,Company Name,File No.,File Name,CUSIP Number,Form Type,Total Pages,Edited Pages,Template type,Edited,Accession Number,Completion Time,Post Status,Edited by,TC Done by,Filed By,SEC Filing Links,Notes,Comments by Barclays ,File Type
39,2020-11-11 00:00:00,,06747QQ59 - FS,,,FWP,2,,Automated,No,0001481057-20-000308,,,Habib,,Habib,,,,Fact Sheet
40,2020-11-11 00:00:00,,06747QQ67 - FS,,,FWP,2,,Automated,No,0001481057-20-000307,,,Habib,,Habib,,,,Fact Sheet
41,2020-11-12 00:00:00,,06747QPU5 - FS,,,FWP,2,,Automated,No,0001481057-20-000312,,,Habib,,Habib,,,,Fact Sheet
42,2020-11-12 00:00:00,,06741WMA5,,,424B2,17,,Automated,No,0001481057-20-000317,,,Mostafizur,,Habib,,,,Prelim
43,2020-11-13 00:00:00,,06741WMB3,,,424B2,17,,Automated,Yes,0001481057-20-000318,,,Saykot,,Zakir,,,,Prelim
44,2020-11-13 00:00:00,,06741WMA5 - AMD,,,424B2,17,,Automated,Yes,0001481057-20-000319,,,Al Amin,,Sultana,,,,Prelim
45,2020-11-13 00:00:00,,06741WMA5 - FS,,,FWP,2,,Automated,No,0001481057-20-000320,,,Shamim,,Habib,,,,Fact Sheet
46,2020-11-16 00:00:00,,06741WMB3 - FS,,,FWP,2,,Automated,No,0001481057-20-000325,,,Al Amin,,Sultana,,,,Fact Sheet
47,2020-11-16 00:00:00,,06747QQM2 ,,,424B2,21,,Automated,No,0001481057-20-000326,,,Saykot,,Zakir,,,,Prelim
48,2020-11-17 00:00:00,,06747QQT7 ,,,424B2,16,,Automated,No,0001481057-20-000333,,,Saykot,,Habib,,,,Prelim
49,2020-11-17 00:00:00,,06747QQW0,,,424B2,18,,Automated,No,0001481057-20-000335,,,Mahfuza,,Sultana,,,,Prelim
50,2020-11-17 00:00:00,,06747QQV2,,,424B2,16,,Automated,No,0001481057-20-000334,,,Sultana,,Habib,,,,Prelim
51,2020-11-18 00:00:00,,06747QQX8 ,,,424B2,16,,Automated,No,0001481057-20-000343,,,Mahfuza,,Habib,,,,Prelim
52,2020-11-19 00:00:00,,06747QQZ3 ,,,424B2,13,,Automated,No,0001481057-20-000352,,,Jewel,,Habib,,,,Prelim
53,2020-11-23 00:00:00,,06747QQW0 - FS,,,FWP,2,,Automated,Yes,0001481057-20-000358,,,Mostafizur,,Habib,,,,Fact Sheet
54,2020-11-23 00:00:00,,06747QR58 ,,,424B2,17,,Automated,No,0001481057-20-000359,,,Latif,,Sultana,,,,Prelim
55,2020-11-24 00:00:00,,06747QR66,,,424B2,19,,Automated,No,0001481057-20-000364,,,Mahfuza,,Sultana,,,,Prelim
56,2020-11-24 00:00:00,,06747QPK7 - Final,,,424B2,14,,Automated,Yes,0001481057-20-000373,,,Habib,,Habib,,,,Final
57,2020-11-25 00:00:00,,06741WMA5 - Final,,,424B2,19,,Automated,Yes,0001481057-20-000391,,,Al Amin,,Habib,,,,Final
58,2020-11-25 00:00:00,,06741WMB3 - Final,,,424B2,19,,Automated,Yes,0001481057-20-000389,,,Latif,,Habib,,,,Final
